Geneid	Length
ENSMMUG00000000015	444
ENSMMUG00000058747	3253
ENSMMUG00000059503	312
ENSMMUG00000053405	117
ENSMMUG00000058339	1797
ENSMMUG00000041413	111
ENSMMUG00000006252	4143
ENSMMUG00000048772	1421
ENSMMUG00000039543	238
ENSMMUG00000053438	1244
ENSMMUG00000047935	4801
ENSMMUG00000011832	2738
ENSMMUG00000055596	148
ENSMMUG00000008149	2083
ENSMMUG00000015664	3842
ENSMMUG00000061500	1460
ENSMMUG00000019771	6148
ENSMMUG00000063991	1580
ENSMMUG00000058567	1183
ENSMMUG00000055600	1187
ENSMMUG00000058282	2398
ENSMMUG00000044406	1356
ENSMMUG00000049847	1354
ENSMMUG00000026424	135
ENSMMUG00000055817	148
ENSMMUG00000042021	4094
ENSMMUG00000006251	7465
ENSMMUG00000002141	2073
ENSMMUG00000008836	7019
ENSMMUG00000002142	1975
ENSMMUG00000019995	4997
ENSMMUG00000053224	962
ENSMMUG00000015158	4009
ENSMMUG00000008835	2632
ENSMMUG00000008146	2174
ENSMMUG00000064143	117
ENSMMUG00000010977	1790
ENSMMUG00000008145	291
ENSMMUG00000056564	1455
ENSMMUG00000015156	1535
ENSMMUG00000057586	219
ENSMMUG00000054804	148
ENSMMUG00000003343	4326
ENSMMUG00000060391	1847
ENSMMUG00000055518	818
ENSMMUG00000025174	95
ENSMMUG00000057562	1815
ENSMMUG00000015155	4971
ENSMMUG00000050796	990
ENSMMUG00000045106	1738
ENSMMUG00000061927	148
ENSMMUG00000008638	5760
ENSMMUG00000010973	6349
ENSMMUG00000010978	2360
ENSMMUG00000051774	2424
ENSMMUG00000052045	117
ENSMMUG00000019994	8746
ENSMMUG00000050423	1049
ENSMMUG00000031655	1391
ENSMMUG00000053265	1477
ENSMMUG00000022884	2776
ENSMMUG00000063102	1550
ENSMMUG00000010979	1393
ENSMMUG00000015150	5165
ENSMMUG00000010970	5066
ENSMMUG00000010980	279
ENSMMUG00000064110	1702
ENSMMUG00000008917	496
ENSMMUG00000053474	148
ENSMMUG00000022886	825
ENSMMUG00000058556	105
ENSMMUG00000011221	7565
ENSMMUG00000049444	425
ENSMMUG00000040678	303
ENSMMUG00000006022	3902
ENSMMUG00000001803	3165
ENSMMUG00000010961	4050
ENSMMUG00000059457	1281
ENSMMUG00000022173	1953
ENSMMUG00000047604	292
ENSMMUG00000056485	2102
ENSMMUG00000032222	1134
ENSMMUG00000022171	1047
ENSMMUG00000061389	117
ENSMMUG00000004833	516
ENSMMUG00000031291	3496
ENSMMUG00000004835	306
ENSMMUG00000012185	2806
ENSMMUG00000036025	95
ENSMMUG00000056752	107
ENSMMUG00000052576	1785
ENSMMUG00000005740	8864
ENSMMUG00000047853	2073
ENSMMUG00000045584	3598
ENSMMUG00000013857	2452
ENSMMUG00000052341	1225
ENSMMUG00000015142	8211
ENSMMUG00000004832	995
ENSMMUG00000022170	7460
ENSMMUG00000038517	1295
ENSMMUG00000021387	418
ENSMMUG00000015056	1698
ENSMMUG00000044778	2287
ENSMMUG00000052344	2171
ENSMMUG00000059270	1536
ENSMMUG00000061945	104
ENSMMUG00000064796	273
ENSMMUG00000006868	345
ENSMMUG00000008435	3683
ENSMMUG00000049733	1614
ENSMMUG00000005634	4229
ENSMMUG00000006865	1122
ENSMMUG00000019287	2436
ENSMMUG00000013090	722
ENSMMUG00000058244	1470
ENSMMUG00000052239	107
ENSMMUG00000053940	1026
ENSMMUG00000064041	1236
ENSMMUG00000032677	107
ENSMMUG00000060204	148
ENSMMUG00000053534	117
ENSMMUG00000045550	5192
ENSMMUG00000051554	148
ENSMMUG00000022168	1796
ENSMMUG00000009773	7635
ENSMMUG00000042187	80
ENSMMUG00000043598	1014
ENSMMUG00000055481	5400
ENSMMUG00000061167	687
ENSMMUG00000045959	471
ENSMMUG00000019815	1329
ENSMMUG00000031430	2328
ENSMMUG00000021750	351
ENSMMUG00000064805	972
ENSMMUG00000051645	2141
ENSMMUG00000057430	1033
ENSMMUG00000051591	1762
ENSMMUG00000064352	1137
ENSMMUG00000059169	297
ENSMMUG00000013738	6235
ENSMMUG00000008990	5621
ENSMMUG00000021862	1968
ENSMMUG00000049143	3114
ENSMMUG00000037766	302
ENSMMUG00000019812	3743
ENSMMUG00000015924	3598
ENSMMUG00000055077	2048
ENSMMUG00000050331	148
ENSMMUG00000041086	291
ENSMMUG00000011732	1886
ENSMMUG00000053964	429
ENSMMUG00000015555	7006
ENSMMUG00000061474	270
ENSMMUG00000055316	4659
ENSMMUG00000019914	7047
ENSMMUG00000020834	1702
ENSMMUG00000054857	3911
ENSMMUG00000010764	1322
ENSMMUG00000055798	109
ENSMMUG00000036441	134
ENSMMUG00000064729	510
ENSMMUG00000057296	1754
ENSMMUG00000011733	2045
ENSMMUG00000023624	251
ENSMMUG00000015922	10121
ENSMMUG00000001264	6402
ENSMMUG00000063702	1188
ENSMMUG00000054613	684
ENSMMUG00000008992	3373
ENSMMUG00000016215	7596
ENSMMUG00000042618	1751
ENSMMUG00000011711	3538
ENSMMUG00000017740	760
ENSMMUG00000019806	5163
ENSMMUG00000011735	2016
ENSMMUG00000002492	2005
ENSMMUG00000016214	1342
ENSMMUG00000037367	94
ENSMMUG00000055038	333
ENSMMUG00000054634	333
ENSMMUG00000044175	1683
ENSMMUG00000051719	333
ENSMMUG00000027973	108
ENSMMUG00000052260	148
ENSMMUG00000059561	854
ENSMMUG00000054650	1625
ENSMMUG00000058472	357
ENSMMUG00000058332	2761
ENSMMUG00000043588	183
ENSMMUG00000064604	117
ENSMMUG00000056940	357
ENSMMUG00000062759	370
ENSMMUG00000062448	152
ENSMMUG00000063749	1323
ENSMMUG00000050859	78
ENSMMUG00000055266	357
ENSMMUG00000041482	1644
ENSMMUG00000012479	6657
ENSMMUG00000061742	117
ENSMMUG00000051816	1740
ENSMMUG00000063085	148
ENSMMUG00000005635	4510
ENSMMUG00000017104	4376
ENSMMUG00000001966	768
ENSMMUG00000013602	4220
ENSMMUG00000032231	2980
ENSMMUG00000053960	148
ENSMMUG00000016812	4608
ENSMMUG00000049843	333
ENSMMUG00000062996	571
ENSMMUG00000004265	2264
ENSMMUG00000049286	333
ENSMMUG00000003581	2579
ENSMMUG00000053735	998
ENSMMUG00000023382	3595
ENSMMUG00000017103	1218
ENSMMUG00000058094	957
ENSMMUG00000005210	3292
ENSMMUG00000056808	882
ENSMMUG00000056341	3156
ENSMMUG00000013596	6126
ENSMMUG00000050804	561
ENSMMUG00000053498	1416
ENSMMUG00000035346	106
ENSMMUG00000000352	970
ENSMMUG00000052516	107
ENSMMUG00000058456	315
ENSMMUG00000001967	357
ENSMMUG00000053723	444
ENSMMUG00000003579	468
ENSMMUG00000017101	6299
ENSMMUG00000053323	2459
ENSMMUG00000015081	2268
ENSMMUG00000061598	3354
ENSMMUG00000060345	1296
ENSMMUG00000009951	1708
ENSMMUG00000009040	1485
ENSMMUG00000040888	1710
ENSMMUG00000052779	117
ENSMMUG00000056511	1954
ENSMMUG00000065322	4998
ENSMMUG00000045421	3742
ENSMMUG00000060445	1770
ENSMMUG00000023145	4872
ENSMMUG00000009948	2096
ENSMMUG00000059472	6495
ENSMMUG00000059665	291
ENSMMUG00000008761	6771
ENSMMUG00000061947	105
ENSMMUG00000053610	148
ENSMMUG00000015084	4827
ENSMMUG00000063539	141
ENSMMUG00000058486	3802
ENSMMUG00000053934	148
ENSMMUG00000064774	11034
ENSMMUG00000055760	1594
ENSMMUG00000063807	402
ENSMMUG00000021386	2484
ENSMMUG00000020756	3582
ENSMMUG00000016808	3297
ENSMMUG00000040694	6043
ENSMMUG00000043675	699
ENSMMUG00000006894	2774
ENSMMUG00000013561	1803
ENSMMUG00000008763	3300
ENSMMUG00000063725	4545
ENSMMUG00000007129	3381
ENSMMUG00000019536	5531
ENSMMUG00000003309	7338
ENSMMUG00000043775	109
ENSMMUG00000016786	6132
ENSMMUG00000062596	5756
ENSMMUG00000053652	1512
ENSMMUG00000058256	1689
ENSMMUG00000005736	3683
ENSMMUG00000039340	299
ENSMMUG00000055285	148
ENSMMUG00000065199	102
ENSMMUG00000020754	3245
ENSMMUG00000001479	7408
ENSMMUG00000019793	7000
ENSMMUG00000052469	91
ENSMMUG00000000476	2594
ENSMMUG00000023200	2629
ENSMMUG00000051332	3184
ENSMMUG00000036946	107
ENSMMUG00000006892	2206
ENSMMUG00000014970	3151
ENSMMUG00000061825	96
ENSMMUG00000005669	1737
ENSMMUG00000040115	531
ENSMMUG00000043124	948
ENSMMUG00000045495	301
ENSMMUG00000037178	107
ENSMMUG00000006119	1441
ENSMMUG00000005668	2288
ENSMMUG00000025420	111
ENSMMUG00000051071	148
ENSMMUG00000051142	4108
ENSMMUG00000057445	1440
ENSMMUG00000018618	5925
ENSMMUG00000050205	2740
ENSMMUG00000008453	966
ENSMMUG00000005073	2546
ENSMMUG00000005735	1403
ENSMMUG00000061293	6159
ENSMMUG00000053581	3902
ENSMMUG00000026958	112
ENSMMUG00000023199	2645
ENSMMUG00000026847	90
ENSMMUG00000011914	2920
ENSMMUG00000051009	1912
ENSMMUG00000057466	2884
ENSMMUG00000008552	2615
ENSMMUG00000009024	3047
ENSMMUG00000025705	123
ENSMMUG00000008857	1413
ENSMMUG00000005667	2143
ENSMMUG00000006697	3759
ENSMMUG00000061360	117
ENSMMUG00000005072	1062
ENSMMUG00000026870	89
ENSMMUG00000002454	1372
ENSMMUG00000017718	7467
ENSMMUG00000001481	4432
ENSMMUG00000054974	3183
ENSMMUG00000015133	3815
ENSMMUG00000032681	92
ENSMMUG00000026648	131
ENSMMUG00000021577	4242
ENSMMUG00000028449	95
ENSMMUG00000057010	5856
ENSMMUG00000018014	2468
ENSMMUG00000015631	1825
ENSMMUG00000039139	7075
ENSMMUG00000054776	6410
ENSMMUG00000046184	1274
ENSMMUG00000002455	4258
ENSMMUG00000021575	1580
ENSMMUG00000012221	5763
ENSMMUG00000060685	1659
ENSMMUG00000057015	148
ENSMMUG00000061582	148
ENSMMUG00000056473	1257
ENSMMUG00000015632	3971
ENSMMUG00000012477	7076
ENSMMUG00000058111	107
ENSMMUG00000059358	1650
ENSMMUG00000050315	234
ENSMMUG00000010729	2195
ENSMMUG00000028051	158
ENSMMUG00000061414	1130
ENSMMUG00000040207	1047
ENSMMUG00000006891	996
ENSMMUG00000054758	2068
ENSMMUG00000056255	1908
ENSMMUG00000005070	5144
ENSMMUG00000049415	1773
ENSMMUG00000050602	1937
ENSMMUG00000057342	164
ENSMMUG00000023277	4093
ENSMMUG00000011156	1377
ENSMMUG00000049315	164
ENSMMUG00000004563	7129
ENSMMUG00000009234	2244
ENSMMUG00000064473	1899
ENSMMUG00000015066	833
ENSMMUG00000023144	1602
ENSMMUG00000015634	12741
ENSMMUG00000050628	302
ENSMMUG00000020398	3325
ENSMMUG00000049470	2825
ENSMMUG00000054679	147
ENSMMUG00000033058	130
ENSMMUG00000022009	3340
ENSMMUG00000056871	120
ENSMMUG00000005836	6706
ENSMMUG00000064824	3266
ENSMMUG00000032217	3137
ENSMMUG00000015580	4771
ENSMMUG00000021574	3874
ENSMMUG00000031497	2476
ENSMMUG00000035358	104
ENSMMUG00000031435	540
ENSMMUG00000043005	289
ENSMMUG00000023275	4225
ENSMMUG00000049853	148
ENSMMUG00000051230	973
ENSMMUG00000065039	2654
ENSMMUG00000057845	1134
ENSMMUG00000062651	3936
ENSMMUG00000006688	4248
ENSMMUG00000051883	2153
ENSMMUG00000057560	2076
ENSMMUG00000062883	148
ENSMMUG00000043951	118
ENSMMUG00000052612	1763
ENSMMUG00000065223	104
ENSMMUG00000059650	5781
ENSMMUG00000054334	2003
ENSMMUG00000032084	2384
ENSMMUG00000005371	333
ENSMMUG00000013839	2963
ENSMMUG00000041183	5596
ENSMMUG00000003887	1007
ENSMMUG00000019154	6759
ENSMMUG00000018458	7794
ENSMMUG00000005372	840
ENSMMUG00000002970	1465
ENSMMUG00000016931	4971
ENSMMUG00000026504	100
ENSMMUG00000052967	483
ENSMMUG00000046192	272
ENSMMUG00000024249	120
ENSMMUG00000022040	1520
ENSMMUG00000005185	3022
ENSMMUG00000002968	1691
ENSMMUG00000021385	2048
ENSMMUG00000058838	148
ENSMMUG00000064202	686
ENSMMUG00000001869	5192
ENSMMUG00000055525	2196
ENSMMUG00000006754	2427
ENSMMUG00000008455	6688
ENSMMUG00000051390	1013
ENSMMUG00000065207	1308
ENSMMUG00000024513	94
ENSMMUG00000053800	1381
ENSMMUG00000002461	2365
ENSMMUG00000064868	164
ENSMMUG00000026923	110
ENSMMUG00000029649	930
ENSMMUG00000062716	1502
ENSMMUG00000058564	117
ENSMMUG00000060855	154
ENSMMUG00000022639	3923
ENSMMUG00000064377	164
ENSMMUG00000022038	3027
ENSMMUG00000055536	117
ENSMMUG00000018664	3010
ENSMMUG00000058153	162
ENSMMUG00000026240	122
ENSMMUG00000005068	4299
ENSMMUG00000061518	117
ENSMMUG00000053969	6206
ENSMMUG00000055847	99
ENSMMUG00000021442	2278
ENSMMUG00000007338	2947
ENSMMUG00000003369	2461
ENSMMUG00000060243	2598
ENSMMUG00000016479	3503
ENSMMUG00000060353	981
ENSMMUG00000060259	148
ENSMMUG00000057953	6786
ENSMMUG00000053968	104
ENSMMUG00000009114	3972
ENSMMUG00000050186	148
ENSMMUG00000014340	2419
ENSMMUG00000023089	2526
ENSMMUG00000034447	190
ENSMMUG00000008338	4291
ENSMMUG00000016054	1284
ENSMMUG00000002420	4637
ENSMMUG00000007806	1997
ENSMMUG00000058078	148
ENSMMUG00000050045	1102
ENSMMUG00000059198	472
ENSMMUG00000042929	298
ENSMMUG00000063277	117
ENSMMUG00000022640	15606
ENSMMUG00000005186	2333
ENSMMUG00000054726	787
ENSMMUG00000050712	1059
ENSMMUG00000054856	1681
ENSMMUG00000021531	3620
ENSMMUG00000044826	3562
ENSMMUG00000016738	2125
ENSMMUG00000015083	1139
ENSMMUG00000058513	4187
ENSMMUG00000002416	4328
ENSMMUG00000015650	1950
ENSMMUG00000016925	7092
ENSMMUG00000054712	1942
ENSMMUG00000052432	6858
ENSMMUG00000029348	1083
ENSMMUG00000021449	13240
ENSMMUG00000000812	7729
ENSMMUG00000013679	5132
ENSMMUG00000061399	103
ENSMMUG00000050533	1758
ENSMMUG00000060016	2613
ENSMMUG00000001152	5756
ENSMMUG00000049264	1007
ENSMMUG00000010096	2800
ENSMMUG00000008420	3133
ENSMMUG00000005000	4254
ENSMMUG00000059542	1130
ENSMMUG00000061301	2113
ENSMMUG00000056972	585
ENSMMUG00000060894	148
ENSMMUG00000061845	1362
ENSMMUG00000041790	302
ENSMMUG00000047901	294
ENSMMUG00000052395	1333
ENSMMUG00000063954	2926
ENSMMUG00000047765	1122
ENSMMUG00000054842	184
ENSMMUG00000002791	1505
ENSMMUG00000005992	3099
ENSMMUG00000053896	1389
ENSMMUG00000002105	1617
ENSMMUG00000059514	71
ENSMMUG00000023438	2743
ENSMMUG00000033018	85
ENSMMUG00000063676	148
ENSMMUG00000016568	4821
ENSMMUG00000056375	6354
ENSMMUG00000013681	2479
ENSMMUG00000061702	411
ENSMMUG00000063455	1377
ENSMMUG00000052547	148
ENSMMUG00000056247	1696
ENSMMUG00000008419	7008
ENSMMUG00000040654	2796
ENSMMUG00000013680	1837
ENSMMUG00000061410	2914
ENSMMUG00000026478	118
ENSMMUG00000006645	5882
ENSMMUG00000052510	1747
ENSMMUG00000018460	4047
ENSMMUG00000062154	6639
ENSMMUG00000051599	802
ENSMMUG00000016053	1014
ENSMMUG00000016567	2324
ENSMMUG00000031260	1439
ENSMMUG00000042531	1836
ENSMMUG00000032180	6227
ENSMMUG00000010095	1918
ENSMMUG00000016051	3502
ENSMMUG00000023085	2488
ENSMMUG00000014167	3298
ENSMMUG00000058879	148
ENSMMUG00000024679	112
ENSMMUG00000013673	2364
ENSMMUG00000027950	107
ENSMMUG00000063534	148
ENSMMUG00000053181	147
ENSMMUG00000036119	149
ENSMMUG00000016049	2959
ENSMMUG00000062323	2122
ENSMMUG00000049347	910
ENSMMUG00000001060	14904
ENSMMUG00000004998	4057
ENSMMUG00000040271	65
ENSMMUG00000061128	2795
ENSMMUG00000057902	101
ENSMMUG00000023086	1326
ENSMMUG00000056788	4196
ENSMMUG00000061559	95
ENSMMUG00000046901	5227
ENSMMUG00000045482	829
ENSMMUG00000009189	2275
ENSMMUG00000057675	534
ENSMMUG00000057834	3143
ENSMMUG00000055431	83
ENSMMUG00000016048	2346
ENSMMUG00000060193	1577
ENSMMUG00000019108	5512
ENSMMUG00000054343	148
ENSMMUG00000063390	3475
ENSMMUG00000059723	3168
ENSMMUG00000058954	1732
ENSMMUG00000059587	1241
ENSMMUG00000008418	2625
ENSMMUG00000056106	4266
ENSMMUG00000000811	2011
ENSMMUG00000053036	775
ENSMMUG00000007244	3206
ENSMMUG00000059855	2451
ENSMMUG00000012505	4235
ENSMMUG00000049609	1008
ENSMMUG00000016043	5316
ENSMMUG00000014946	1824
ENSMMUG00000007180	8101
ENSMMUG00000022927	3023
ENSMMUG00000022679	1594
ENSMMUG00000020976	4083
ENSMMUG00000026519	96
ENSMMUG00000022062	2129
ENSMMUG00000016399	4839
ENSMMUG00000022677	813
ENSMMUG00000059214	690
ENSMMUG00000052282	1899
ENSMMUG00000054190	1319
ENSMMUG00000001860	801
ENSMMUG00000023096	26082
ENSMMUG00000018684	3329
ENSMMUG00000001859	822
ENSMMUG00000007246	2130
ENSMMUG00000041046	6407
ENSMMUG00000062764	71
ENSMMUG00000054017	2125
ENSMMUG00000050154	148
ENSMMUG00000008722	5042
ENSMMUG00000032951	95
ENSMMUG00000039738	107
ENSMMUG00000010328	2910
ENSMMUG00000041470	286
ENSMMUG00000004466	4689
ENSMMUG00000063814	375
ENSMMUG00000054439	102
ENSMMUG00000007256	1572
ENSMMUG00000016056	1536
ENSMMUG00000060649	1018
ENSMMUG00000053692	3270
ENSMMUG00000007213	5270
ENSMMUG00000035555	103
ENSMMUG00000053077	117
ENSMMUG00000063359	2193
ENSMMUG00000062177	1884
ENSMMUG00000005466	4892
ENSMMUG00000006300	1149
ENSMMUG00000055302	2967
ENSMMUG00000057054	1903
ENSMMUG00000022065	4391
ENSMMUG00000064173	1825
ENSMMUG00000000952	2532
ENSMMUG00000054255	5497
ENSMMUG00000059598	2046
ENSMMUG00000007257	4372
ENSMMUG00000058542	117
ENSMMUG00000063754	1470
ENSMMUG00000009257	1942
ENSMMUG00000022066	3347
ENSMMUG00000062824	148
ENSMMUG00000006669	15696
ENSMMUG00000020972	2944
ENSMMUG00000049848	510
ENSMMUG00000024597	161
ENSMMUG00000016733	1875
ENSMMUG00000064398	417
ENSMMUG00000009188	3156
ENSMMUG00000010323	2605
ENSMMUG00000010073	5595
ENSMMUG00000004070	858
ENSMMUG00000007258	634
ENSMMUG00000004463	5244
ENSMMUG00000064331	117
ENSMMUG00000064197	117
ENSMMUG00000015022	2735
ENSMMUG00000052186	1567
ENSMMUG00000050060	428
ENSMMUG00000061036	393
ENSMMUG00000059072	148
ENSMMUG00000016734	2252
ENSMMUG00000015949	5884
ENSMMUG00000037540	390
ENSMMUG00000061181	148
ENSMMUG00000019986	864
ENSMMUG00000059673	149
ENSMMUG00000063990	117
ENSMMUG00000043047	1223
ENSMMUG00000004071	2315
ENSMMUG00000065163	333
ENSMMUG00000016349	3800
ENSMMUG00000009679	4324
ENSMMUG00000002892	6541
ENSMMUG00000052382	1909
ENSMMUG00000015020	6705
ENSMMUG00000014828	19071
ENSMMUG00000015947	1623
ENSMMUG00000062407	1592
ENSMMUG00000016735	2678
ENSMMUG00000054615	1624
ENSMMUG00000060284	1092
ENSMMUG00000051523	117
ENSMMUG00000008519	6660
ENSMMUG00000011264	2128
ENSMMUG00000054078	411
ENSMMUG00000016405	2712
ENSMMUG00000053885	1572
ENSMMUG00000040506	405
ENSMMUG00000002741	11081
ENSMMUG00000055059	148
ENSMMUG00000014218	1653
ENSMMUG00000033539	210
ENSMMUG00000058040	2692
ENSMMUG00000061560	148
ENSMMUG00000004362	1726
ENSMMUG00000049685	2364
ENSMMUG00000009967	2326
ENSMMUG00000023057	2493
ENSMMUG00000053512	1303
ENSMMUG00000064206	4292
ENSMMUG00000015518	942
ENSMMUG00000016736	1785
ENSMMUG00000051267	109
ENSMMUG00000061073	467
ENSMMUG00000014018	3002
ENSMMUG00000004614	3801
ENSMMUG00000060377	877
ENSMMUG00000054836	1525
ENSMMUG00000054610	139
ENSMMUG00000015948	997
ENSMMUG00000063454	3523
ENSMMUG00000038839	507
ENSMMUG00000027803	112
ENSMMUG00000040630	522
ENSMMUG00000027766	112
ENSMMUG00000046023	669
ENSMMUG00000016223	6901
ENSMMUG00000058107	699
ENSMMUG00000005306	2727
ENSMMUG00000016099	7445
ENSMMUG00000051730	144
ENSMMUG00000041607	292
ENSMMUG00000007969	770
ENSMMUG00000021544	2531
ENSMMUG00000058020	1209
ENSMMUG00000054563	1343
ENSMMUG00000064782	164
ENSMMUG00000051893	318
ENSMMUG00000062353	3287
ENSMMUG00000023401	6513
ENSMMUG00000015946	2686
ENSMMUG00000057392	159
ENSMMUG00000007183	2419
ENSMMUG00000016220	3924
ENSMMUG00000058713	1680
ENSMMUG00000005307	2818
ENSMMUG00000020434	3750
ENSMMUG00000023889	143
ENSMMUG00000027412	112
ENSMMUG00000028053	103
ENSMMUG00000052703	148
ENSMMUG00000063311	117
ENSMMUG00000008513	3820
ENSMMUG00000060619	1081
ENSMMUG00000062066	1475
ENSMMUG00000019642	2849
ENSMMUG00000052587	1418
ENSMMUG00000054730	164
ENSMMUG00000023052	6269
ENSMMUG00000055227	2097
ENSMMUG00000054571	164
ENSMMUG00000005585	1723
ENSMMUG00000060464	3304
ENSMMUG00000025964	113
ENSMMUG00000059204	2083
ENSMMUG00000016102	8061
ENSMMUG00000020471	3185
ENSMMUG00000053022	381
ENSMMUG00000063318	929
ENSMMUG00000060603	1609
ENSMMUG00000053859	4584
ENSMMUG00000054797	1945
ENSMMUG00000005410	6728
ENSMMUG00000062140	2050
ENSMMUG00000058881	1209
ENSMMUG00000048590	3142
ENSMMUG00000001742	6572
ENSMMUG00000019640	2223
ENSMMUG00000058089	2322
ENSMMUG00000020433	762
ENSMMUG00000061152	164
ENSMMUG00000005426	3378
ENSMMUG00000059055	119
ENSMMUG00000057426	1562
ENSMMUG00000058364	164
ENSMMUG00000054908	119
ENSMMUG00000062240	119
ENSMMUG00000055782	148
ENSMMUG00000055501	119
ENSMMUG00000024186	163
ENSMMUG00000023143	1923
ENSMMUG00000053074	1846
ENSMMUG00000057556	119
ENSMMUG00000036857	154
ENSMMUG00000064365	2380
ENSMMUG00000064626	164
ENSMMUG00000056455	127
ENSMMUG00000018869	7059
ENSMMUG00000064010	119
ENSMMUG00000061239	1029
ENSMMUG00000056384	119
ENSMMUG00000054590	1546
ENSMMUG00000060874	118
