mmul_gene_id	mmul_symbol	human_symbol
ENSMMUG00000040456	ACBD7	ACBD7
ENSMMUG00000019693	ACCSL	ACCSL
ENSMMUG00000009805	ACD	ACD
ENSMMUG00000014048	ACE2	ACE2
ENSMMUG00000005698	ACER1	ACER1
ENSMMUG00000018168	ACER3	ACER3
ENSMMUG00000058568	ACHE	ACHE
ENSMMUG00000012979	ACIN1	ACIN1
ENSMMUG00000018931	ACLY	ACLY
ENSMMUG00000010195	ACMSD	ACMSD
ENSMMUG00000008196	ACO1	ACO1
ENSMMUG00000001454	ACO2	ACO2
ENSMMUG00000013679	ACOT11	ACOT11
ENSMMUG00000020656	ACOT12	ACOT12
ENSMMUG00000029939	ACOT13	ACOT13
ENSMMUG00000006855	ACOT4	ACOT4
ENSMMUG00000004094	ACOT7	ACOT7
ENSMMUG00000012510	ACOT8	ACOT8
ENSMMUG00000018824	ACOT9	ACOT9
ENSMMUG00000014172	ACOX1	ACOX1
ENSMMUG00000006229	ACOX2	ACOX2
ENSMMUG00000015597	ACP2	ACP2
ENSMMUG00000002974	ACP5	ACP5
ENSMMUG00000013561	ACP6	ACP6
ENSMMUG00000005592	ACR	ACR
ENSMMUG00000016983	ACRBP	ACRBP
ENSMMUG00000018937	ACSBG2	ACSBG2
ENSMMUG00000017236	ACSF2	ACSF2
ENSMMUG00000012177	ACSL1	ACSL1
ENSMMUG00000005393	ACSL3	ACSL3
ENSMMUG00000004188	ACSL4	ACSL4
ENSMMUG00000004226	ACSM1	ACSM1
ENSMMUG00000016745	ACSM3	ACSM3
ENSMMUG00000022106	ACSM4	ACSM4
ENSMMUG00000009002	ACSM5	ACSM5
ENSMMUG00000020597	ACSS1	ACSS1
ENSMMUG00000017932	ACSS2	ACSS2
ENSMMUG00000022086	ACTA1	ACTA1
ENSMMUG00000009341	ACTA2	ACTA2
ENSMMUG00000011153	ACTB	ACTB
ENSMMUG00000001353	ACTBL2	ACTBL2
ENSMMUG00000007027	ACTC1	ACTC1
ENSMMUG00000012054	ACTG1	ACTG1
ENSMMUG00000017683	ACTG2	ACTG2
ENSMMUG00000009742	ACTL6A	ACTL6A
ENSMMUG00000007461	ACTL6B	ACTL6B
ENSMMUG00000019355	ACTL7A	ACTL7A
ENSMMUG00000019354	ACTL7B	ACTL7B
ENSMMUG00000010852	ACTL8	ACTL8
ENSMMUG00000000818	ACTL9	ACTL9
ENSMMUG00000020471	ACTN2	ACTN2
ENSMMUG00000006429	ACTN4	ACTN4
ENSMMUG00000011949	ACTR1A	ACTR1A
ENSMMUG00000009732	ACTR1B	ACTR1B
ENSMMUG00000002263	ACTR2	ACTR2
ENSMMUG00000018920	ACTR3B	ACTR3B
ENSMMUG00000003378	ACTR5	ACTR5
ENSMMUG00000023603	ACTR6	ACTR6
ENSMMUG00000012334	ACTRT2	ACTRT2
ENSMMUG00000018497	ACVR1	ACVR1
ENSMMUG00000046877	ACVR1B	ACVR1B
ENSMMUG00000003707	ACVR1C	ACVR1C
ENSMMUG00000000042	ACVR2A	ACVR2A
ENSMMUG00000018790	ACVR2B	ACVR2B
ENSMMUG00000004982	ACVRL1	ACVRL1
ENSMMUG00000039824	ACY3	ACY3
ENSMMUG00000010603	ADA	ADA
ENSMMUG00000004572	ADAD1	ADAD1
ENSMMUG00000017067	ADAL	MAPDA
ENSMMUG00000017507	ADAM10	ADAM10
ENSMMUG00000029927	ADAM11	ADAM11
ENSMMUG00000009661	ADAM12	ADAM12
ENSMMUG00000023340	ADAM15	ADAM15
ENSMMUG00000012921	ADAM17	ADAM17
ENSMMUG00000022134	ADAM18	ADAM18
ENSMMUG00000021549	ADAM19	ADAM19
ENSMMUG00000003137	ADAM2	ADAM2
ENSMMUG00000000202	ADAM20	ADAM20
ENSMMUG00000011084	ADAM21	ADAM21
ENSMMUG00000022695	ADAM22	ADAM22
ENSMMUG00000011641	ADAM23	ADAM23
ENSMMUG00000061083	ADAM29	ADAM29
ENSMMUG00000017482	ADAM30	ADAM30
ENSMMUG00000023033	ADAM8	ADAM8
ENSMMUG00000006033	ADAM9	ADAM9
ENSMMUG00000005318	ADAMDEC1	ADAMDEC1
ENSMMUG00000013407	ADAMTS1	ADAMTS1
ENSMMUG00000016821	ADAMTS10	ADAMTS10
ENSMMUG00000016226	ADAMTS12	ADAMTS12
ENSMMUG00000012330	ADAMTS14	ADAMTS14
ENSMMUG00000003301	ADAMTS15	ADAMTS15
ENSMMUG00000019205	ADAMTS16	ADAMTS16
ENSMMUG00000021160	ADAMTS17	ADAMTS17
ENSMMUG00000057304	ADAMTS19	ADAMTS19
ENSMMUG00000002488	ADAMTS2	ADAMTS2
ENSMMUG00000013942	ADAMTS20	ADAMTS20
ENSMMUG00000017977	ADAMTS3	ADAMTS3
ENSMMUG00000050419	ADAMTS4	ADAMTS4
ENSMMUG00000013405	ADAMTS5	ADAMTS5
ENSMMUG00000018100	ADAMTS6	ADAMTS6
ENSMMUG00000010716	ADAMTS7	ADAMTS7
ENSMMUG00000003300	ADAMTS8	ADAMTS8
ENSMMUG00000000265	ADAMTS9	ADAMTS9
ENSMMUG00000008218	ADAMTSL4	ADAMTSL4
ENSMMUG00000003815	ADAMTSL5	ADAMTSL5
ENSMMUG00000017064	ADAP1	ADAP1
ENSMMUG00000009077	ADAP2	ADAP2
ENSMMUG00000016093	ADAR	ADAR
ENSMMUG00000010695	ADARB1	ADARB1
ENSMMUG00000005751	ADAT1	ADAT1
ENSMMUG00000050165	ADAT2	ADAT2
ENSMMUG00000023627	ADCK1	ADCK1
ENSMMUG00000015282	ADCK2	ADCK2
ENSMMUG00000007376	ADCK5	ADCK5
ENSMMUG00000006421	ADCY1	ADCY1
ENSMMUG00000010380	ADCY10	ADCY10
ENSMMUG00000018742	ADCY2	ADCY2
ENSMMUG00000002230	ADCY5	ADCY5
ENSMMUG00000006253	ADCY6	ADCY6
ENSMMUG00000003118	ADCY7	ADCY7
ENSMMUG00000010440	ADCY8	ADCY8
ENSMMUG00000005299	ADCYAP1R1	ADCYAP1R1
ENSMMUG00000008379	ADD1	ADD1
ENSMMUG00000010592	ADD2	ADD2
ENSMMUG00000006233	ADD3	ADD3
ENSMMUG00000040764	ADH1A	ADH1A
ENSMMUG00000018738	ADH1B	ADH1B
ENSMMUG00000011059	ADH4	ADH4
ENSMMUG00000015966	ADH6	ADH6
ENSMMUG00000000887	ADHFE1	ADHFE1
ENSMMUG00000031309	ADIG	ADIG
ENSMMUG00000002684	ADIPOQ	ADIPOQ
ENSMMUG00000007046	ADIPOR1	ADIPOR1
ENSMMUG00000017262	ADIPOR2	ADIPOR2
ENSMMUG00000022237	ADK	ADK
ENSMMUG00000016387	ADM	ADM
ENSMMUG00000062822	ADM2	ADM2
ENSMMUG00000002761	ADNP	ADNP
ENSMMUG00000013710	ADNP2	ADNP2
ENSMMUG00000064442	ADO	ADO
ENSMMUG00000008714	ADORA1	ADORA1
ENSMMUG00000061127	ADORA2B	ADORA2B
ENSMMUG00000011309	ADPGK	ADPGK
ENSMMUG00000053955	ADPRH	ADPRH
ENSMMUG00000057593	ADPRM	ADPRM
ENSMMUG00000023112	ADRA1A	ADRA1A
ENSMMUG00000050043	ADRA1B	ADRA1B
ENSMMUG00000052559	ADRA1D	ADRA1D
ENSMMUG00000041307	ADRA2A	ADRA2A
ENSMMUG00000011842	ADRA2B	ADRA2B
ENSMMUG00000002214	ADRB2	ADRB2
ENSMMUG00000005876	ADRB3	ADRB3
ENSMMUG00000021660	AFAP1L1	AFAP1L1
ENSMMUG00000022523	AFAP1L2	AFAP1L2
ENSMMUG00000014076	AFF1	AFF1
ENSMMUG00000000466	AFF2	AFF2
ENSMMUG00000058099	AFG3L2	AFG3L2
ENSMMUG00000003830	AFP	AFP
ENSMMUG00000006503	AFTPH	AFTPH
ENSMMUG00000007393	AGA	AGA
ENSMMUG00000009346	AGAP1	AGAP1
ENSMMUG00000023690	AGAP2	AGAP2
ENSMMUG00000009546	AGAP3	AGAP3
ENSMMUG00000063645	AGAP3	AGAP3
ENSMMUG00000008495	AGBL1	AGBL1
ENSMMUG00000006530	AGBL3	AGBL3
ENSMMUG00000016044	AGBL5	AGBL5
ENSMMUG00000018442	AGER	AGER
ENSMMUG00000013247	AGFG1	AGFG1
ENSMMUG00000021358	AGGF1	AGGF1
ENSMMUG00000021017	AGK	AGK
ENSMMUG00000021441	AGL	AGL
ENSMMUG00000004975	AGMO	AGMO
ENSMMUG00000018434	AGPAT1	AGPAT1
ENSMMUG00000020990	AGPAT2	AGPAT2
ENSMMUG00000045179	AGPAT3	AGPAT3
ENSMMUG00000006147	AGPAT4	AGPAT4
ENSMMUG00000054376	AGPAT5	AGPAT5
ENSMMUG00000008502	AGPS	AGPS
ENSMMUG00000017050	AGR2	AGR2
ENSMMUG00000016017	AGR3	AGR3
ENSMMUG00000000838	AGRN	AGRN
ENSMMUG00000060341	AGRP	AGRP
ENSMMUG00000005881	AGT	AGT
ENSMMUG00000008801	AGTPBP1	AGTPBP1
ENSMMUG00000020680	AGTR1	AGTR1
ENSMMUG00000055906	AGTR2	AGTR2
ENSMMUG00000004677	AGTRAP	AGTRAP
ENSMMUG00000023435	AGXT	AGXT
ENSMMUG00000006301	AGXT2	AGXT2
ENSMMUG00000016408	AHCTF1	AHCTF1
ENSMMUG00000016306	AHCY	AHCY
ENSMMUG00000022715	AHCYL1	AHCYL1
ENSMMUG00000019358	AHCYL2	AHCYL2
ENSMMUG00000009368	AHI1	AHI1
ENSMMUG00000022301	AHNAK	AHNAK
ENSMMUG00000012203	AHR	AHR
ENSMMUG00000000752	AHRR	AHRR
ENSMMUG00000013554	AHSA1	AHSA1
ENSMMUG00000017567	AHSG	AHSG
ENSMMUG00000000901	AHSP	AHSP
ENSMMUG00000049735	AIF1	AIF1
ENSMMUG00000042881	AIF1L	AIF1L
ENSMMUG00000004954	AIFM1	AIFM1
ENSMMUG00000006392	AIFM2	AIFM2
ENSMMUG00000020478	AIFM3	AIFM3
ENSMMUG00000006430	AIG1	AIG1
ENSMMUG00000004492	AIM2	AIM2
ENSMMUG00000011817	AIP	AIP
ENSMMUG00000017759	AIPL1	AIPL1
ENSMMUG00000004168	AIRE	AIRE
ENSMMUG00000060702	AK1	AK1
ENSMMUG00000006284	AK2	AK2
ENSMMUG00000000143	AK3	AK3
ENSMMUG00000053254	AK4	AK4
ENSMMUG00000020218	AK5	AK5
ENSMMUG00000003397	AK7	AK7
ENSMMUG00000009916	AK8	AK8
ENSMMUG00000012644	AKAP1	AKAP1
ENSMMUG00000030279	AKAP10	AKAP10
ENSMMUG00000023083	AKAP11	AKAP11
ENSMMUG00000023265	AKAP12	AKAP12
ENSMMUG00000011251	AKAP13	AKAP13
ENSMMUG00000012384	AKAP14	AKAP14
ENSMMUG00000000885	AKAP17A	AKAP17A
ENSMMUG00000020812	AKAP3	AKAP3
ENSMMUG00000042066	AKAP5	AKAP5
ENSMMUG00000015128	AKAP6	AKAP6
ENSMMUG00000000577	AKAP7	AKAP7
ENSMMUG00000051452	AKAP8	AKAP8
ENSMMUG00000017984	AKAP8L	AKAP8L
ENSMMUG00000002364	AKAP9	AKAP9
ENSMMUG00000008018	AKNA	AKNA
ENSMMUG00000010159	AKNAD1	AKNAD1
ENSMMUG00000049745	AKR1A1	AKR1A1
ENSMMUG00000000917	AKR1B1	AKR1B1
ENSMMUG00000013098	AKR1B10	AKR1B10
ENSMMUG00000005422	AKR1D1	AKR1D1
ENSMMUG00000002473	AKR1E2	AKR1E2
ENSMMUG00000006697	AKR7A2	AKR7A2
ENSMMUG00000006891	AKR7A3	AKR7A3
ENSMMUG00000001044	AKT1	AKT1
ENSMMUG00000003621	AKT2	AKT2
ENSMMUG00000019995	AKT3	AKT3
ENSMMUG00000008657	AKTIP	AKTIP
ENSMMUG00000031965	ALAD	ALAD
ENSMMUG00000005596	ALAS1	ALAS1
ENSMMUG00000008429	ALAS2	ALAS2
ENSMMUG00000003827	ALB	ALB
ENSMMUG00000009107	ALCAM	ALCAM
ENSMMUG00000003102	ALDH18A1	ALDH18A1
ENSMMUG00000013303	ALDH1A1	ALDH1A1
ENSMMUG00000019504	ALDH1A2	ALDH1A2
ENSMMUG00000006659	ALDH1A3	ALDH1A3
ENSMMUG00000013057	ALDH1B1	ALDH1B1
ENSMMUG00000012488	ALDH1L1	ALDH1L1
ENSMMUG00000005797	ALDH1L2	ALDH1L2
ENSMMUG00000001328	ALDH3A1	ALDH3A1
ENSMMUG00000014130	ALDH3A2	ALDH3A2
ENSMMUG00000023188	ALDH3B1	ALDH3B1
ENSMMUG00000019368	ALDH5A1	ALDH5A1
ENSMMUG00000012684	ALDH6A1	ALDH6A1
ENSMMUG00000016682	ALDH7A1	ALDH7A1
ENSMMUG00000000983	ALDOA	ALDOA
ENSMMUG00000023796	ALDOB	ALDOB
ENSMMUG00000020322	ALDOC	ALDOC
ENSMMUG00000010662	ALG2	ALG2
ENSMMUG00000018951	ALG3	ALG3
ENSMMUG00000003585	ALG5	ALG5
ENSMMUG00000020046	ALG6	ALG6
ENSMMUG00000014003	ALG9	ALG9
ENSMMUG00000023626	ALKBH1	ALKBH1
ENSMMUG00000062689	ALKBH2	ALKBH2
ENSMMUG00000050875	ALKBH4	ALKBH4
ENSMMUG00000018352	ALKBH5	ALKBH5
ENSMMUG00000000054	ALKBH7	ALKBH7
ENSMMUG00000005437	ALKBH8	ALKBH8
ENSMMUG00000004632	ALLC	ALLC
ENSMMUG00000002819	ALMS1	ALMS1
ENSMMUG00000016264	ALOX12	ALOX12
ENSMMUG00000030381	ALOX15	ALOX15
ENSMMUG00000009995	ALOX15B	ALOX15B
ENSMMUG00000013434	ALOX5	ALOX5
ENSMMUG00000005572	ALOX5AP	ALOX5AP
ENSMMUG00000014073	ALPK1	ALPK1
ENSMMUG00000002217	ALPL	ALPL
ENSMMUG00000018155	ALS2	ALS2
ENSMMUG00000021247	ALS2CL	ALS2CL
ENSMMUG00000060619	ALX3	ALX3
ENSMMUG00000049355	ALX4	ALX4
ENSMMUG00000013467	AMACR	AMACR
ENSMMUG00000022099	AMBN	AMBN
ENSMMUG00000008559	AMBP	AMBP
ENSMMUG00000011526	AMBRA1	AMBRA1
ENSMMUG00000008256	AMELX	AMELX
ENSMMUG00000020037	AMHR2	AMHR2
ENSMMUG00000062157	AMIGO1	AMIGO1
ENSMMUG00000012458	AMIGO2	AMIGO2
ENSMMUG00000014582	AMIGO3	AMIGO3
ENSMMUG00000023423	AMMECR1	AMMECR1
ENSMMUG00000011180	AMN1	AMN1
ENSMMUG00000007688	AMOT	AMOT
ENSMMUG00000021694	AMOTL2	AMOTL2
ENSMMUG00000001978	AMPD1	AMPD1
ENSMMUG00000005820	AMPD2	AMPD2
ENSMMUG00000015785	AMPD3	AMPD3
ENSMMUG00000023667	AMPH	AMPH
ENSMMUG00000005452	AMT	AMT
ENSMMUG00000003025	AMTN	AMTN
ENSMMUG00000053148	AMZ1	AMZ1
ENSMMUG00000004432	ANAPC10	ANAPC10
ENSMMUG00000012887	ANAPC11	ANAPC11
ENSMMUG00000012750	ANAPC13	ANAPC13
ENSMMUG00000015600	ANAPC16	ANAPC16
ENSMMUG00000001669	ANAPC2	ANAPC2
ENSMMUG00000004458	ANAPC4	ANAPC4
ENSMMUG00000054876	ANAPC7	ANAPC7
ENSMMUG00000018551	ANGEL1	ANGEL1
ENSMMUG00000017745	ANGPT1	ANGPT1
ENSMMUG00000010139	ANGPT2	ANGPT2
ENSMMUG00000000270	ANGPT4	ANGPT4
ENSMMUG00000012161	ANGPTL2	ANGPTL2
ENSMMUG00000046449	ANGPTL3	ANGPTL3
ENSMMUG00000020783	ANGPTL5	ANGPTL5
ENSMMUG00000006187	ANGPTL7	ANGPTL7
ENSMMUG00000014726	ANK1	ANK1
ENSMMUG00000008633	ANK2	ANK2
ENSMMUG00000003589	ANK3	ANK3
ENSMMUG00000014314	ANKAR	ANKAR
ENSMMUG00000010948	ANKDD1A	ANKDD1A
ENSMMUG00000019184	ANKFY1	ANKFY1
ENSMMUG00000021942	ANKH	ANKH
ENSMMUG00000005120	ANKIB1	ANKIB1
ENSMMUG00000016228	ANKLE1	ANKLE1
ENSMMUG00000061556	ANKLE2	ANKLE2
ENSMMUG00000014835	ANKMY1	ANKMY1
ENSMMUG00000017041	ANKMY2	ANKMY2
ENSMMUG00000023513	ANKRA2	ANKRA2
ENSMMUG00000006632	ANKRD1	ANKRD1
ENSMMUG00000018929	ANKRD10	ANKRD10
ENSMMUG00000017161	ANKRD11	ANKRD11
ENSMMUG00000007678	ANKRD13A	ANKRD13A
ENSMMUG00000014409	ANKRD13B	ANKRD13B
ENSMMUG00000013853	ANKRD13C	ANKRD13C
ENSMMUG00000000790	ANKRD17	ANKRD17
ENSMMUG00000020032	ANKRD2	ANKRD2
ENSMMUG00000000470	ANKRD22	ANKRD22
ENSMMUG00000021288	ANKRD28	ANKRD28
ENSMMUG00000011061	ANKRD31	ANKRD31
ENSMMUG00000004978	ANKRD33	ANKRD33
ENSMMUG00000001130	ANKRD33B	ANKRD33B
ENSMMUG00000019460	ANKRD34B	ANKRD34B
ENSMMUG00000059439	ANKRD34C	ANKRD34C
ENSMMUG00000003421	ANKRD40	ANKRD40
ENSMMUG00000022425	ANKRD44	ANKRD44
ENSMMUG00000010683	ANKRD45	ANKRD45
ENSMMUG00000009958	ANKRD46	ANKRD46
ENSMMUG00000061391	ANKRD49	ANKRD49
ENSMMUG00000006783	ANKRD50	ANKRD50
ENSMMUG00000008679	ANKRD52	ANKRD52
ENSMMUG00000055845	ANKRD53	ANKRD53
ENSMMUG00000003462	ANKRD6	ANKRD6
ENSMMUG00000016889	ANKRD9	ANKRD9
ENSMMUG00000021718	ANKS1A	ANKS1A
ENSMMUG00000022406	ANKS1B	ANKS1B
ENSMMUG00000062042	ANKS4B	ANKS4B
ENSMMUG00000018523	ANKS6	ANKS6
ENSMMUG00000014510	ANKZF1	ANKZF1
ENSMMUG00000021186	ANLN	ANLN
ENSMMUG00000012924	ANO3	ANO3
ENSMMUG00000018718	ANO4	ANO4
ENSMMUG00000011811	ANO6	ANO6
ENSMMUG00000001721	ANO7	ANO7
ENSMMUG00000022717	ANP32A	ANP32A
ENSMMUG00000012242	ANP32B	ANP32B
ENSMMUG00000021531	ANP32E	ANP32E
ENSMMUG00000014983	ANPEP	ANPEP
ENSMMUG00000014244	ANTXR1	ANTXR1
ENSMMUG00000003333	ANTXR2	ANTXR2
ENSMMUG00000012667	ANXA1	ANXA1
ENSMMUG00000001879	ANXA10	ANXA10
ENSMMUG00000019780	ANXA11	ANXA11
ENSMMUG00000063044	ANXA13	ANXA13
ENSMMUG00000012000	ANXA2	ANXA2
ENSMMUG00000022218	ANXA3	ANXA3
ENSMMUG00000000857	ANXA4	ANXA4
ENSMMUG00000009194	ANXA5	ANXA5
ENSMMUG00000021053	ANXA6	ANXA6
ENSMMUG00000015708	ANXA7	ANXA7
ENSMMUG00000023231	ANXA9	ANXA9
ENSMMUG00000022275	AOAH	AOAH
ENSMMUG00000001870	AOC2	AOC2
ENSMMUG00000021931	AOX1	AOX1
ENSMMUG00000065026	AP1AR	AP1AR
ENSMMUG00000021380	AP1B1	AP1B1
ENSMMUG00000004144	AP1G2	AP1G2
ENSMMUG00000014026	AP1M1	AP1M1
ENSMMUG00000014055	AP1S2	AP1S2
ENSMMUG00000011612	AP2A1	AP2A1
ENSMMUG00000003620	AP2A2	AP2A2
ENSMMUG00000006557	AP2M1	AP2M1
ENSMMUG00000000833	AP2S1	AP2S1
ENSMMUG00000001360	AP3B1	AP3B1
ENSMMUG00000000617	AP3B2	AP3B2
ENSMMUG00000015663	AP3D1	AP3D1
ENSMMUG00000020825	AP3M1	AP3M1
ENSMMUG00000015288	AP3S1	AP3S1
ENSMMUG00000029507	AP3S2	AP3S2
ENSMMUG00000019528	AP4B1	AP4B1
ENSMMUG00000015159	AP4E1	AP4E1
ENSMMUG00000013447	AP4M1	AP4M1
ENSMMUG00000022404	APAF1	APAF1
ENSMMUG00000009672	APBA3	APBA3
ENSMMUG00000022948	APBB1IP	APBB1IP
ENSMMUG00000012563	APBB2	APBB2
ENSMMUG00000001707	APBB3	APBB3
ENSMMUG00000003053	APC2	APC2
ENSMMUG00000056891	APCDD1	APCDD1
ENSMMUG00000014540	APEH	APEH
ENSMMUG00000048039	APEX1	APEX1
ENSMMUG00000008428	APEX2	APEX2
ENSMMUG00000021386	APH1A	APH1A
ENSMMUG00000059755	APH1B	APH1B
ENSMMUG00000008827	API5	API5
ENSMMUG00000007552	APLF	APLF
ENSMMUG00000010627	APLNR	APLNR
ENSMMUG00000019753	APLP1	APLP1
ENSMMUG00000018029	APLP2	APLP2
ENSMMUG00000061222	APMAP	APMAP
ENSMMUG00000044545	APOA1	APOA1
ENSMMUG00000004516	APOA2	APOA2
ENSMMUG00000016125	APOA4	APOA4
ENSMMUG00000057425	APOA5	APOA5
ENSMMUG00000007692	APOB	APOB
ENSMMUG00000051090	APOBEC1	APOBEC1
ENSMMUG00000021171	APOBEC2	APOBEC2
ENSMMUG00000042504	APOBEC3A	APOBEC3A
ENSMMUG00000039346	APOBEC3G	APOBEC3G
ENSMMUG00000001016	APOBEC3H	APOBEC3H
ENSMMUG00000060284	APOBEC4	APOBEC4
ENSMMUG00000000707	APOBR	APOBR
ENSMMUG00000055305	APOC2	APOC2
ENSMMUG00000014305	APOE	APOE
ENSMMUG00000063898	APOF	APOF
ENSMMUG00000001050	APOL6	APOL6
ENSMMUG00000050700	APOLD1	APOLD1
ENSMMUG00000005303	APOM	APOM
ENSMMUG00000016361	APOO	APOO
ENSMMUG00000004335	APOOL	APOOL
ENSMMUG00000014384	APP	APP
ENSMMUG00000016566	APPBP2	APPBP2
ENSMMUG00000007724	APTX	APTX
ENSMMUG00000023363	AQP10	AQP10
ENSMMUG00000018944	AQP11	AQP11
ENSMMUG00000038256	AQP2	AQP2
ENSMMUG00000003314	AQP3	AQP3
ENSMMUG00000014934	AQP4	AQP4
ENSMMUG00000058855	AQP5	AQP5
ENSMMUG00000001545	AQP7	AQP7
ENSMMUG00000010472	AQP8	AQP8
ENSMMUG00000011225	AQP9	AQP9
ENSMMUG00000002337	AQR	AQR
ENSMMUG00000011437	AR	AR
ENSMMUG00000011418	ARAF	ARAF
ENSMMUG00000015054	ARAP1	ARAP1
ENSMMUG00000006871	ARAP2	ARAP2
ENSMMUG00000000465	ARAP3	ARAP3
ENSMMUG00000002543	ARCN1	ARCN1
ENSMMUG00000052432	ARF1	ARF1
ENSMMUG00000046381	ARF5	ARF4
ENSMMUG00000041889	ARF6	ARF6
ENSMMUG00000015911	ARFGAP1	ARFGAP1
ENSMMUG00000006357	ARFGAP2	ARFGAP2
ENSMMUG00000002229	ARFGAP3	ARFGAP3
ENSMMUG00000014424	ARFGEF1	ARFGEF1
ENSMMUG00000019635	ARFGEF2	ARFGEF2
ENSMMUG00000018490	ARFIP1	ARFIP1
ENSMMUG00000007731	ARFIP2	ARFIP2
ENSMMUG00000000169	ARFRP1	ARFRP1
ENSMMUG00000017540	ARG1	ARG1
ENSMMUG00000015865	ARG2	ARG2
ENSMMUG00000051102	ARGLU1	ARGLU1
ENSMMUG00000007831	ARHGAP1	ARHGAP1
ENSMMUG00000014953	ARHGAP10	ARHGAP10
ENSMMUG00000012276	ARHGAP11A	ARHGAP11A
ENSMMUG00000004778	ARHGAP12	ARHGAP12
ENSMMUG00000006528	ARHGAP15	ARHGAP15
ENSMMUG00000029176	ARHGAP17	ARHGAP17
ENSMMUG00000020365	ARHGAP18	ARHGAP18
ENSMMUG00000047189	ARHGAP19	ARHGAP19
ENSMMUG00000000527	ARHGAP20	ARHGAP20
